109.00,107.00,104.00,5.10,2.00,2.00,2.00,0.00,0,3,0
112.00,107.00,104.00,9.27,2.00,2.00,2.00,0.00,0,3,0
128.00,124.00,118.00,10.20,2.00,2.00,2.00,0.00,0,3,0
108.67,111.00,102.00,4.78,2.00,2.00,2.00,0.00,0,3,0
116.33,115.00,115.00,1.89,2.00,2.00,2.00,0.00,0,3,0
112.00,109.00,102.00,9.63,2.00,2.00,2.00,0.00,0,3,0
117.00,119.00,103.00,10.71,2.00,2.00,2.00,0.00,0,3,0
68.00,68.00,67.00,0.82,1.00,1.00,1.00,0.00,3,0,0
91.33,95.00,73.00,13.72,1.00,1.00,1.00,0.00,0,3,0
122.67,111.00,108.00,18.66,2.00,2.00,2.00,0.00,0,3,0
126.00,131.00,113.00,9.27,2.00,2.00,2.00,0.00,0,3,0
71.67,70.00,67.00,4.64,1.00,1.00,1.00,0.00,3,0,0
116.33,119.00,119.00,3.77,2.00,2.00,2.00,0.00,0,3,0
106.00,101.00,79.00,24.34,1.00,1.00,1.00,0.00,3,0,0
79.67,76.00,71.00,8.96,1.00,1.00,1.00,0.00,3,0,0
173.33,175.00,132.00,33.09,2.00,2.00,2.00,0.00,0,3,0
124.00,114.00,105.00,20.83,2.00,2.00,2.00,0.00,0,3,0
120.33,120.00,118.00,2.05,2.00,2.00,2.00,0.00,0,3,0
123.67,118.00,109.00,14.84,2.00,2.00,2.00,0.00,0,3,0
113.33,115.00,108.00,3.86,2.00,2.00,2.00,0.00,0,3,0
116.67,119.00,107.00,7.13,2.00,2.00,2.00,0.00,0,3,0
112.67,113.00,105.00,6.13,2.00,2.00,2.00,0.00,0,3,0
124.00,116.00,114.00,12.75,2.00,2.00,2.00,0.00,0,3,0
120.33,125.00,103.00,12.68,2.00,2.00,2.00,0.00,0,3,0
140.67,119.00,114.00,34.24,2.00,2.00,2.00,0.00,0,3,0
78.67,76.00,71.00,7.59,1.00,1.00,1.00,0.00,3,0,0
115.67,106.00,104.00,15.11,2.00,2.00,2.00,0.00,0,3,0
74.67,75.00,69.00,4.50,1.00,1.00,1.00,0.00,3,0,0
109.00,109.00,108.00,0.82,2.00,2.00,2.00,0.00,0,3,0
82.67,79.00,74.00,8.96,1.00,1.00,1.00,0.00,0,3,0
106.67,106.00,103.00,3.30,2.00,2.00,2.00,0.00,0,3,0
76.67,77.00,77.00,0.47,1.00,1.00,1.00,0.00,0,3,0
118.00,112.00,108.00,11.43,2.00,2.00,2.00,0.00,0,3,0
111.67,114.00,106.00,4.03,2.00,2.00,2.00,0.00,0,3,0
132.67,132.00,110.00,18.79,2.00,2.00,2.00,0.00,0,3,0
131.33,114.00,109.00,28.12,2.00,2.00,2.00,0.00,0,3,0
134.67,136.00,124.00,8.22,2.00,2.00,2.00,0.00,0,3,0
139.33,121.00,108.00,35.52,2.00,2.00,2.00,0.00,0,3,0
79.00,83.00,63.00,11.78,1.00,1.00,1.00,0.00,3,0,0
133.00,115.00,113.00,26.88,2.00,2.00,2.00,0.00,0,3,0
97.33,72.00,69.00,37.97,1.00,1.00,1.00,0.00,3,0,0
124.33,114.00,113.00,15.33,2.00,2.00,2.00,0.00,0,3,0
80.00,75.00,69.00,11.58,1.00,1.00,1.00,0.00,0,3,0
129.33,129.00,102.00,22.45,2.00,2.00,2.00,0.00,0,3,0
87.67,75.00,74.00,18.62,1.00,1.00,1.00,0.00,0,3,0
130.33,125.00,106.00,22.37,2.00,2.00,2.00,0.00,0,3,0
123.33,104.00,100.00,30.21,2.00,2.00,2.00,0.00,0,3,0
133.00,123.00,113.00,21.60,2.00,2.00,2.00,0.00,0,3,0
119.33,115.00,112.00,8.34,2.00,2.00,2.00,0.00,0,3,0
